Project ID,Name,ISO,Status,Queue Date,Withdrawn Date,County,State,Zone,MW Capacity,Fuel Type,Proposed Date
1418,Battery Storage,ISONE,Withdrawn,2023-06-27,2023-11-30,Providence,RI,RI,108.70,Storage,2027-04-01
1419,Battery Storage,ISONE,Withdrawn,2023-06-28,2024-03-06,Bristol,MA,SEMA,108.70,Storage,2027-04-01
1420,Battery Storage,ISONE,Withdrawn,2023-06-29,2025-10-11,New London,CT,CT,175.10,Storage,2027-12-31
1421,Battery Storage,ISONE,Withdrawn,2023-07-06,2024-01-26,Bristol,MA,SEMA,175.67,Storage,2024-09-08
1422,Battery Storage,ISONE,Withdrawn,2023-07-07,2025-04-25,Hartford,CT,CT,326.00,Storage,2029-02-02
1423,Battery Storage,ISONE,Withdrawn,2023-07-10,2024-09-04,Worcester,MA,CMA,121.60,Storage,2026-09-01
1424,Battery Storage,ISONE,Withdrawn,2023-07-10,2023-08-15,Worcester,MA,CMA,41.20,Storage,2026-09-01
1425,Battery Storage,ISONE,Withdrawn,2023-07-10,2024-09-04,Hampden,MA,WMA,151.60,Storage,2026-10-01
1426,Battery Storage,ISONE,Withdrawn,2023-07-14,2024-12-10,Bristol,MA,SEMA,528.75,Storage,2028-03-31
1429,Wind,ISONE,Withdrawn,2023-08-08,2025-10-11,Aroostook,ME,BHE,197.40,Wind,2028-10-01
1430,Battery Storage,ISONE,Withdrawn,2023-08-09,2025-10-11,Bristol,MA,RI,237.54,Storage,2027-10-17
1431,Battery Storage,ISONE,Withdrawn,2023-08-09,2025-06-13,Hartford,CT,CT,7.00,Storage,2024-12-29
1432,Battery Storage,ISONE,Withdrawn,2023-08-11,2024-08-15,New London,CT,CT,256.53,Storage,2028-09-30
1433,Battery Storage,ISONE,Withdrawn,2023-08-15,2024-06-19,Hampden,MA,WMA,100.00,Storage,2027-12-31
1434,Battery Storage,ISONE,Withdrawn,2023-08-15,2024-06-19,Franklin,MA,WMA,160.00,Storage,2027-12-31
1436,Battery Storage,ISONE,Withdrawn,2023-08-29,2025-10-11,New London,CT,CT,300.00,Storage,2028-06-01
1437,Battery Storage,ISONE,Withdrawn,2023-08-31,2025-09-30,New London,CT,CT,103.32,Storage,2029-02-01
1438,Solar,ISONE,Withdrawn,2023-10-10,2023-12-11,York,ME,ME,15.58,Solar,2024-12-31
1439,Battery Storage,ISONE,Withdrawn,2023-09-18,2024-10-29,Hampshire,MA,WMA,151.31,Storage,2027-05-31
1440,Battery Storage,ISONE,Withdrawn,2023-09-18,2025-04-09,Hampden,MA,WMA,151.56,Storage,2027-05-31
1441,Battery Storage,ISONE,Withdrawn,2023-09-18,2023-11-02,Hampden,MA,WMA,103.00,Storage,2027-05-31
