Project ID,ISO,Status,Queue Date,Withdrawn Date,Proposed Date,State,County,Zone,MW Capacity,Fuel Type,Transmission Owner,Service Type,Study Cycle,Study Group,Name,Study Phase,POI Name,Developer,Done Date,POI,Completion Probability,Latitude,Longitude,Screening Started Date,Screening Complete Date,FIS Requested Date,FIS Approved Date,IA Signed Date,Construction Start Date,Construction End Date,Approved Energization Date,Approved Sync Date,Latest Milestone,Latest Milestone Date,Milestones
GEN-2026-SR21,SPP,Active,2026-05-28 00:00:00,,,OK,South Coffeyville,,148.00,Storage,AEP,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR20,SPP,Active,2026-03-26 00:00:00,,,NE,Lincoln,,225.00,Storage,LES,ERIS/NRIS,Surplus,02 NEBRASKA,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR2,SPP,Active,2025-12-19 00:00:00,,,KS,Cimmaron,,165.60,Storage,SUNC,ERIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR19,SPP,Active,2026-03-30 00:00:00,,,OK,Duncan,,200.00,Storage,AEP,ERIS/NRIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR18,SPP,Active,2026-03-06 00:00:00,,,MO,Sarcoxie,,150.00,Storage,EDE,ERIS/NRIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR17,SPP,Active,2026-03-16 00:00:00,,,KS,Savonburg,,204.30,Storage,NEETS,NRIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR16,SPP,Active,2026-02-16 00:00:00,,,KS,McPherson,,300.00,Storage,WERE,ERIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR15,SPP,Active,2026-01-19 00:00:00,,,OK,Balko,,200.00,Storage,OGE,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR14,SPP,Active,2026-01-16 00:00:00,,,TX,Panhandle,,158.00,Storage,SPS,ERIS/NRIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR13,SPP,Active,2026-01-17 00:00:00,,,TX,Gruver,,208.00,Storage,SPS,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR12,SPP,Active,2026-01-18 00:00:00,,,OK,Balko,,100.00,Storage,SPS,ERIS/NRIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR11,SPP,Active,2026-01-26 00:00:00,,,OK,Mill Creek,,258.00,Storage,OGE,ERIS/NRIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR10,SPP,Active,2026-01-14 00:00:00,,,TX,Spearman,,457.00,Storage,SPS,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR1,SPP,Active,2025-11-07 00:00:00,,,KS,Garden Plain,,100.00,Storage,WERE,ERIS/NRIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR9,SPP,Active,2026-02-28 00:00:00,,,TX,Crosby County,,15.99,Wind,SPS,ERIS,Priority Process,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR7,SPP,Active,2026-02-28 00:00:00,,,KS,Brownell County,,39.76,Wind,MIDW,ERIS,Priority Process,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR6,SPP,Active,2026-01-08 00:00:00,,,OK,Goltry,,49.72,Wind,OG&E,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR5,SPP,Active,2026-01-07 00:00:00,,,OK,Goultry,,60.40,Storage,OG&E,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR4,SPP,Active,2025-12-19 00:00:00,,,TX,Spearman,,131.56,Storage,SPS,ERIS,Priority Process,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR2,SPP,Active,2025-12-01 00:00:00,,,OK,Dewey County,,41.89,Wind,OG&E,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR18,SPP,Active,2026-05-07 00:00:00,,,NM,Lea County,,30.00,Thermal,SPS,ERIS,Priority Process,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR17,SPP,Active,2026-02-28 00:00:00,,,OK,Grady County,,40.50,Storage,OGE,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR16,SPP,Active,2026-02-28 00:00:00,,,TX,Carson County,,31.82,Wind,SPS,ERIS,Priority Process,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR15,SPP,Active,2026-02-28 00:00:00,,,OK,Custer County,,31.36,Wind,AEP,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR14,SPP,Active,2026-02-28 00:00:00,,,OK,Pawnee County,,43.99,Storage,OGE,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR13,SPP,Active,2026-02-28 00:00:00,,,OK,Hinton County,,25.96,Wind,OGE,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR12,SPP,Active,2026-02-28 00:00:00,,,OK,Kay County,,11.96,Wind,OGE,ERIS,Priority Process,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR11,SPP,Active,2026-02-28 00:00:00,,,TX,Cochran County,,30.00,Wind,SPS,ERIS,Priority Process,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-PR1,SPP,Active,2025-12-01 00:00:00,,,TX,Garfield County,,52.63,Wind,OG&E,ERIS,Priority Process,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR9,SPP,Active,2025-05-31 00:00:00,,,OK,Fort Gibson,,400.00,Thermal,OG&E,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR8,SPP,Done,2025-05-30 00:00:00,,,OK,Morrison,,219.96,Storage,OG&E,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR7,SPP,Active,2025-05-30 00:00:00,,,OK,Fort Gibson,,102.00,Storage,SPS,ERIS/NRIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR6,SPP,Active,2025-06-04 00:00:00,,,OK,Minco,,200.00,Storage,OG&E,ERIS/NRIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR5,SPP,Active,2025-05-22 00:00:00,,,NE,Hallam,,40.00,Storage,NPPD,ERIS/NRIS,Surplus,02 NEBRASKA,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR4,SPP,Active,2025-08-18 00:00:00,,,KS,Kinsley,,150.00,Storage,SUNC,ERIS/NRIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR32,SPP,Active,2025-10-20 00:00:00,,,NM,Roswell,,50.00,Storage,SPS,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR31,SPP,Active,2025-11-07 00:00:00,,,NE,Meadow Grove,,170.00,Storage,NPPD,ERIS,Surplus,02 NEBRASKA,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR30,SPP,Active,2025-08-22 00:00:00,,,OK,Oakwood,,209.00,Storage,OG&E,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR3,SPP,Done,2025-08-18 00:00:00,,,KS,Minneola,,150.00,Storage,ITCGP,ERIS/NRIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR29,SPP,Active,2025-08-18 00:00:00,,,NM,Hobbs,,74.99,Storage,SPS,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR28,SPP,Active,2025-08-18 00:00:00,,,OK,Balko,,263.13,Storage,OG&E,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR27,SPP,Active,2025-07-01 00:00:00,,,NM,Roswell,,50.00,Storage,SPS,ERIS,Surplus,05 SOUTHWEST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR26,SPP,Active,2025-06-12 00:00:00,,,NE,Plattsmouth,,200.00,Thermal,OPPD,ERIS,Surplus,02 NEBRASKA,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR25,SPP,Active,2025-06-12 00:00:00,,,OK,Sperry,,200.00,Thermal,AEP,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR24,SPP,Active,2025-06-12 00:00:00,,,NE,Blair,,200.00,Thermal,OPPD,ERIS,Surplus,02 NEBRASKA,,,,,,,,,,,,,,,,,,,,,
GEN-2025-SR23,SPP,Done,2025-06-12 00:00:00,,,OK,Oklahoma City,,100.00,Thermal,OG&E,ERIS/NRIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
